ALL,All,#
128,gumtree.com.au,ALL
132,widgets on newstravel,ALL
5,mozo.com.au,ALL
117,moneysaverhq.dailytelegraph.com.au,ALL
131,blog,ALL
2,compare.smh.com.au,ALL
91,widgets on mozo,ALL
3,compare.theage.com.au,ALL
104,widgets on perthnow,ALL
105,widgets on adelaidenow,ALL
8,live.moneymanager.com.au,ALL
4,Mozo,ALL
9,compare.brisbanetimes.com.au,ALL
108,widgets on heraldsun,ALL
10,compare.watoday.com.au,ALL
106,widgets on dailytelegraph,ALL
53,betterbanking.choice.com.au,ALL
130,newstravel,ALL
103,widgets on couriermail,ALL
